Username,Openness,Conscientiousness,Extraversion,Agreeableness,Emotional range,Challenge,Closeness,Curiosity,Excitement,Harmony,Ideal,Liberty,Love,Practicality,Self-expression,Stability,Structure
RahulBilve8,40.315950270607,50.26094847183615,16.184289376811005,79.65689698611209,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913,19.160191205015913
ProjectSeestra,97.13750224488,3.875073405570922,12.1118720334226,11.895500315174212,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925,15.822733612794925
DanielNewman,65.54455181704529,48.89482388443959,92.0505471196553,94.67004456066788,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938,33.11099869153938
barrysilbert,83.40582551386149,53.47800063466399,48.30783627623571,20.361137290879782,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983,77.50813843689983
Survivor_AU,62.92639967382867,74.17726038542438,42.008891355181696,36.06906738987629,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394,65.17577628194394
bisiadjapon,87.28328964844744,62.27835287479535,62.24297781175886,84.73942422145413,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687,20.1528339938687
SEC_Careers,59.054457688485876,69.19536469203665,67.88287359739766,46.83788319032654,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411,89.30528192362411
tarak9999,77.37827425371046,94.05499026280913,78.89462042565548,94.81022562983445,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729,75.90472345609729
Nidhi,57.21620170107901,72.7884018359352,22.874102680019337,60.0093135455003,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183,38.33557693779183
BeingSalmanKhan,14.067468573214997,27.819864594909987,9.180406322789313,39.084459713146366,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647,4.820455443398647
imVkohli,57.85888939612926,94.50010321366848,58.84048739350104,64.49875949479681,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081,83.75763966756081
aliabbaszafar,38.589001388136865,51.560261468442334,13.611062883900388,54.870454186808026,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448,7.856438222190448
AltNews,80.06159386164866,39.50599259492705,46.9215059369724,27.77650331994197,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551,51.96017902707551
vijaymilton,20.9366080209495,35.43691676898011,6.562720412384487,45.489641869541444,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892,9.783530976620892
mrtesslynch,87.9423853334391,5.828716357014341,24.175401219225158,5.819371724143996,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953,22.86597807602953
ShashiTharoor,85.86489214053276,74.3105800070227,31.615962944427423,29.673217756275623,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098,64.11592869523098
PJukalker,89.94428644410372,44.431104415918526,76.89668586315126,87.95683271394701,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536,10.3500018474536
PTI_News,81.5801177713407,83.94189642562986,63.42675571285352,43.62419363356984,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827,60.9558582537827
Cristiano,8.250537349582432,74.51009488779913,66.52908346481163,39.0031548108939,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023,56.56788391315023
vinodkambli349,59.876655289278844,75.25564325660677,18.157247289402466,52.49489132609091,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103,64.25048000857103
actorvijay,47.392940687177706,48.98063022913644,0.5404478809335145,21.888607263473013,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168,21.15074289863168
ShaaileshRSingh,66.09533402946626,33.38764587340985,1.610526926081679,27.11536898475671,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675,4.9062101600218675
AkashVOnline,12.627299597141988,75.51304177290648,0.14742408998654755,38.56431187765719,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623,20.40022708352623
buffer,85.51597948949316,79.83326498170446,84.19021807394064,85.36889314365675,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436,86.43187469757436
HISTORY,90.92180083176338,84.63395210064442,29.651263649150362,6.950454232222247,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398,89.91329614462398
monishaadvani,50.141368264615735,80.988903754267,55.521976828948326,97.90025787559154,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929,43.2267918043929
Sanakhan_m,64.07884959955572,40.81972262741299,14.295829201290466,20.03781540699961,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685,35.142084776658685
EBONYMag,99.12034567501557,73.36736167435109,81.97844152689463,52.49000828391455,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104,82.8157340761104
K_Cullerton,92.62554771301775,68.46038079081733,59.87342704731523,20.152703225937817,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214,49.879376795443214
EVACASH_TOKEN,40.46379740476722,92.45692124686256,28.825406447733805,44.0275795674722,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939,82.95542313703939
PulkitSamrat,33.7012225204613,42.29532682160485,18.47008233431861,45.58491297467602,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842,21.33398940236842
